Media Filename,Media Caption
media/6886925B-B38A-42FF-88A8-6FB138E5C396.jpg,""
media/C70B8264-A275-459A-B843-FB5304D39E72.jpg,""
media/F64B9ADA-BC27-4744-B58A-8C07E2C628B9.jpg,""
media/D13E8EB8-F47B-4A5C-9840-3146668E4AAA.jpg,""
media/5F5A81E6-F387-47FE-B064-4FCD8B0F5109.jpg,""
media/88C9C425-C77F-472A-97E4-8F47E8551E62.jpg,""
media/0BE2F9AC-439A-418A-87E0-B797C239778A.jpg,""
media/07662892-AE34-4025-82DE-A59D59759200.jpg,""
media/2C12408A-6627-44E0-B9B0-35E041C2EDDE.jpg,""
media/F3A0CE15-61A0-4AD3-8CBE-98004951AE40.jpg,""
media/C0CF948B-7953-4F3E-9CFA-8B32E98F26B3.jpg,""
media/5C02000E-DEAE-4E16-B6D2-2A37FEAA87B1.jpg,""
media/ED1A5397-035E-47DB-B0F4-D2598D87F026.jpg,""
media/AF0AF29F-B482-473D-99A7-D9E3DBFF91B1.jpg,""
media/ABA2F76F-3FEA-4A81-8B4B-F066FF4374A1.jpg,""
media/B48DC990-BE31-4484-9D86-F94FABEA128B.jpg,There is a freakin line to take a picture at the pole on mission peak. Shit is getting out of hand.
media/E16B3FE5-8D5E-4302-AC46-F2A1D7145FF3.jpg,Caught a branch to the eye as I fell off the trail.
media/50D27384-56DD-4782-983F-A6FD9F726775.jpg,""
media/8C0F3399-4E3A-44D0-AABD-B02F3750FD07.jpg,""
media/E5C3E5AC-766C-43AE-AC84-BF5BBE08FCAF.jpg,""
media/45EE6AA0-D2E0-407E-8C04-42630A401AF9.jpg,""
media/83385E0D-1716-437B-B430-FF5D5C8BA452.jpg,""
media/2A9F0EC3-DC06-46BB-97BE-22D38EC57D99.jpg,""
media/500FB87B-62FD-4804-841F-BA1308788CF7.jpg,""
media/0FDFEAC2-5E1B-44FB-80DF-686F65E1A451.jpg,""
media/3A0D6034-AD30-49E7-8C45-312626F5CD6F.jpg,Way more ppl playing Pokémon. 🙈
media/8B663C08-0F39-4E65-AF05-243A3BF7AF6E.jpg,Monterey wharf
media/A45C360B-DFA9-4B22-A7DF-448D05AC4418.jpg,"Bridge, obviously"
media/E65AB8EB-0EB5-4F79-A9D5-99248E22F601.jpg,Golf course
media/03F0A742-4BC0-44CD-8B5D-2F5EE50FA0EB.jpg,Mmmmm. I could have used one of those right about then. It's someone's driveway.
media/75B8BB61-BA99-4B19-86F0-F8665E91790B.jpg,Redwoods to dry grass change. Rancho San Carlos Rd
media/A7989AEF-5389-42E6-881A-FBE611C60F28.jpg,Further down Rancho San Carlos Rd
media/A588A3D2-F778-4F5D-802A-98490F5C7248.jpg,Bambi
media/F2B9D076-C3FA-442A-B214-2A77440349BC.jpg,Rancho San Carlos Rd
media/5273BB8D-8DFE-407F-8509-A3DF5F12D729.jpg,Also lower Robinson Canyon Rd
