Join Date,Name,Completed
"Jun 1, 2015, 5:14:10 PM",Climb for Nepal - Cycling,true
"Jun 3, 2015, 3:58:00 AM", Rapha #MYHOUR Challenge,true
"Aug 26, 2020, 4:45:46 PM",The Cookie 100,true
